GroupNum, GroupType, TypeTest, PartID, Partner, Round, Shape, KeyPressed, PositionItem, ChosenItem, GoodItem, ACC, Word, ID_CG
1,HT,block1_passive_exp,1,999,0,3,999,999,999,999,999,esip,0
1,HT,block1_passive_exp,1,999,0,6,999,999,999,999,999,anap,0
1,HT,block1_passive_exp,1,999,0,1,999,999,999,999,999,nus,0
1,HT,block1_passive_exp,1,999,0,5,999,999,999,999,999,nekuki,0
1,HT,block1_passive_exp,1,999,0,7,999,999,999,999,999,aike,0
1,HT,block1_passive_exp,1,999,0,0,999,999,999,999,999,nusa,0
1,HT,block1_passive_exp,1,999,0,4,999,999,999,999,999,puak,0
1,HT,block1_passive_exp,1,999,0,2,999,999,999,999,999,kesip,0
1,HT,block2_passive_exp,1,999,0,1,999,999,999,999,999,nus,0
1,HT,block2_passive_exp,1,999,0,4,999,999,999,999,999,puak,0
1,HT,block2_passive_exp,1,999,0,7,999,999,999,999,999,aike,0
1,HT,block2_passive_exp,1,999,0,3,999,999,999,999,999,esip,0
1,HT,block2_passive_exp,1,999,0,6,999,999,999,999,999,anap,0
1,HT,block2_passive_exp,1,999,0,5,999,999,999,999,999,nekuki,0
1,HT,block2_passive_exp,1,999,0,0,999,999,999,999,999,nusa,0
1,HT,block2_passive_exp,1,999,0,2,999,999,999,999,999,kesip,0
1,HT,testing_set,1,999,0,2,999,999,999,999,0,nesi,0
1,HT,testing_set,1,999,0,7,999,999,999,999,0,uine,0
1,HT,testing_set,1,999,0,5,999,999,999,999,0,nesipi,0
1,HT,testing_set,1,999,0,3,999,999,999,999,1,esip,0
1,HT,testing_set,1,999,0,6,999,999,999,999,0,unip,0
1,HT,testing_set,1,999,0,1,999,999,999,999,1,nus,0
1,HT,testing_set,1,999,0,0,999,999,999,999,0,nuse,0
1,HT,testing_set,1,999,0,4,999,999,999,999,0,inus,0
1,HT,ComGame_Producer,1,2,1,3,999,999,999,999,999,esip,0
1,HT,ComGame_Guesser,1,2,1,7,4,4,5,7,0,none,0
1,HT,ComGame_Producer,1,2,1,6,999,999,999,999,999,usi,1
1,HT,ComGame_Guesser,1,2,1,2,7,7,4,2,0,none,1
1,HT,ComGame_Producer,1,2,1,1,999,999,999,999,999,nus,2
1,HT,ComGame_Guesser,1,2,1,4,6,6,0,4,0,none,2
1,HT,ComGame_Producer,1,2,1,5,999,999,999,999,999,puie,3
1,HT,ComGame_Guesser,1,2,1,0,1,5,3,0,0,none,3
1,HT,ComGame_Producer,1,2,1,7,999,999,999,999,999,nepipi,4
1,HT,ComGame_Guesser,1,2,1,5,8,3,2,5,0,none,4
1,HT,ComGame_Producer,1,2,1,0,999,999,999,999,999,puie,5
1,HT,ComGame_Guesser,1,2,1,6,7,1,4,6,0,none,5
1,HT,ComGame_Producer,1,2,1,4,999,999,999,999,999,sup,6
1,HT,ComGame_Guesser,1,2,1,3,1,0,3,3,1,none,6
1,HT,ComGame_Producer,1,2,1,2,999,999,999,999,999,enip,7
1,HT,ComGame_Guesser,1,2,1,1,7,2,4,1,0,none,7
1,HT,ComGame_Producer,1,3,2,5,999,999,999,999,999,nepipi,0
1,HT,ComGame_Guesser,1,3,2,1,3,2,1,1,1,none,0
1,HT,ComGame_Producer,1,3,2,3,999,999,999,999,999,esip,1
1,HT,ComGame_Guesser,1,3,2,7,8,4,2,7,0,none,1
